TransactionID,item1,item2,item3,item4,item5,item6,item7
101,risotto,pretzels,apples,peppers,avocado,soda,coke
102,tuna,prosciutto,olives,ham,turkey,peppers,gelato
103,tuna,prosciutto,olives,ham,turkey,sarsaparilla,sarsaparilla
104,risotto,soda,tuna,crackers,peroni,peppers,pretzels
105,avocado,crackers,hummus,peroni,ham,prosciutto,pretzels
106,tuna,prosciutto,apples,olives,steak,risotto,ham
107,prosciutto,peppers,sarsaparilla,crackers,chicken,risotto,tuna
108,pretzels,peroni,chicken,coke,gelato,ham,prosciutto
109,risotto,tuna,avocado,hummus,peroni,ham,prosciutto
110,soda,olives,sarsaparilla,crackers,peroni,avocado,chicken
111,risotto,pretzels,apples,peppers,avocado,peroni,tuna
112,pretzels,peroni,chicken,coke,gelato,moscato,olives
113,risotto,pretzels,apples,peppers,avocado,chicken,turkey
114,pretzels,peroni,chicken,coke,gelato,turkey,tuna
115,olives,sarsaparilla,coke,turkey,gelato,steak,peroni
116,soda,olives,sarsaparilla,crackers,peroni,ham,avocado
117,tuna,prosciutto,olives,ham,turkey,sarsaparilla,pretzels
118,pretzels,peroni,chicken,coke,gelato,apples,apples
119,olives,sarsaparilla,coke,turkey,gelato,tuna,ham
120,tuna,prosciutto,apples,olives,steak,chicken,ham
121,risotto,tuna,avocado,hummus,peroni,chicken,crackers
122,risotto,pretzels,apples,peppers,avocado,chicken,hummus
123,risotto,soda,tuna,crackers,peroni,sarsaparilla,peppers
124,soda,olives,sarsaparilla,crackers,peroni,gelato,pretzels
125,risotto,tuna,avocado,hummus,peroni,soda,chicken
126,prosciutto,peppers,sarsaparilla,crackers,chicken,soda,gelato
127,tuna,prosciutto,olives,ham,turkey,crackers,steak
128,olives,sarsaparilla,coke,turkey,gelato,peppers,chicken
129,soda,olives,sarsaparilla,crackers,peroni,coke,chicken
130,olives,sarsaparilla,coke,turkey,gelato,peppers,avocado
131,avocado,crackers,hummus,peroni,ham,chicken,prosciutto
132,risotto,soda,tuna,crackers,peroni,avocado,chicken
133,tuna,prosciutto,olives,ham,turkey,apples,steak
134,soda,olives,sarsaparilla,crackers,peroni,ham,tuna
135,risotto,tuna,avocado,hummus,peroni,apples,turkey
136,pretzels,peroni,chicken,coke,gelato,tuna,peppers
137,olives,sarsaparilla,coke,turkey,gelato,crackers,risotto
138,tuna,prosciutto,olives,ham,turkey,chicken,gelato
139,pretzels,peroni,chicken,coke,gelato,turkey,ham
140,avocado,crackers,hummus,peroni,ham,chicken,prosciutto
141,risotto,tuna,avocado,hummus,peroni,chicken,peppers
142,soda,olives,sarsaparilla,crackers,peroni,moscato,avocado
143,pretzels,peroni,chicken,coke,gelato,apples,soda
144,avocado,crackers,hummus,peroni,ham,moscato,coke
145,risotto,tuna,avocado,hummus,peroni,sarsaparilla,apples
146,tuna,prosciutto,olives,ham,turkey,coke,peroni
147,avocado,crackers,hummus,peroni,ham,olives,chicken
148,soda,olives,sarsaparilla,crackers,peroni,apples,prosciutto
149,olives,sarsaparilla,coke,turkey,gelato,moscato,soda
150,avocado,crackers,hummus,peroni,ham,steak,chicken
151,tuna,prosciutto,olives,ham,turkey,soda,crackers
152,prosciutto,peppers,sarsaparilla,crackers,chicken,steak,apples
153,risotto,soda,tuna,crackers,peroni,avocado,turkey
154,olives,sarsaparilla,coke,turkey,gelato,hummus,apples
155,risotto,pretzels,apples,peppers,avocado,steak,turkey
156,prosciutto,peppers,sarsaparilla,crackers,chicken,pretzels,olives
157,risotto,tuna,avocado,hummus,peroni,olives,sarsaparilla
158,avocado,crackers,hummus,peroni,ham,turkey,gelato
159,prosciutto,peppers,sarsaparilla,crackers,chicken,tuna,pretzels
160,tuna,prosciutto,olives,ham,turkey,hummus,chicken
161,tuna,prosciutto,apples,olives,steak,peppers,peppers
162,risotto,pretzels,apples,peppers,avocado,olives,hummus
163,risotto,tuna,avocado,hummus,peroni,chicken,sarsaparilla
164,risotto,pretzels,apples,peppers,avocado,ham,coke
165,pretzels,peroni,chicken,coke,gelato,sarsaparilla,avocado
166,avocado,crackers,hummus,peroni,ham,moscato,chicken
167,tuna,prosciutto,olives,ham,turkey,soda,peppers
168,prosciutto,peppers,sarsaparilla,crackers,chicken,tuna,soda
169,tuna,prosciutto,olives,ham,turkey,gelato,pretzels
170,avocado,crackers,hummus,peroni,ham,sarsaparilla,soda
171,avocado,crackers,hummus,peroni,ham,pretzels,peppers
172,prosciutto,peppers,sarsaparilla,crackers,chicken,peroni,ham
173,risotto,tuna,avocado,hummus,peroni,olives,peppers
174,soda,olives,sarsaparilla,crackers,peroni,prosciutto,risotto
175,olives,sarsaparilla,coke,turkey,gelato,steak,peroni
176,risotto,soda,tuna,crackers,peroni,sarsaparilla,prosciutto
177,pretzels,peroni,chicken,coke,gelato,crackers,ham
178,tuna,prosciutto,apples,olives,steak,avocado,avocado
179,prosciutto,peppers,sarsaparilla,crackers,chicken,ham,tuna
180,risotto,soda,tuna,crackers,peroni,olives,gelato
181,olives,sarsaparilla,coke,turkey,gelato,peppers,steak
182,tuna,prosciutto,apples,olives,steak,sarsaparilla,peroni
183,risotto,pretzels,apples,peppers,avocado,crackers,olives
184,prosciutto,peppers,sarsaparilla,crackers,chicken,turkey,apples
185,avocado,crackers,hummus,peroni,ham,steak,soda
186,tuna,prosciutto,olives,ham,turkey,risotto,peroni
187,avocado,crackers,hummus,peroni,ham,apples,chicken
188,risotto,soda,tuna,crackers,peroni,moscato,coke
189,pretzels,peroni,chicken,coke,gelato,tuna,sarsaparilla
190,pretzels,peroni,chicken,coke,gelato,tuna,apples
191,olives,sarsaparilla,coke,turkey,gelato,crackers,steak
192,tuna,prosciutto,apples,olives,steak,sarsaparilla,peppers
193,avocado,crackers,hummus,peroni,ham,sarsaparilla,tuna
194,risotto,tuna,avocado,hummus,peroni,moscato,pretzels
195,olives,sarsaparilla,coke,turkey,gelato,moscato,peroni
196,tuna,prosciutto,olives,ham,turkey,gelato,soda
197,tuna,prosciutto,apples,olives,steak,peroni,ham
198,olives,sarsaparilla,coke,turkey,gelato,peppers,hummus
199,pretzels,peroni,chicken,coke,gelato,moscato,olives
200,olives,sarsaparilla,coke,turkey,gelato,peroni,crackers
201,prosciutto,peppers,sarsaparilla,crackers,chicken,ham,soda
202,risotto,tuna,avocado,hummus,peroni,steak,pretzels
203,tuna,prosciutto,apples,olives,steak,chicken,coke
204,risotto,pretzels,apples,peppers,avocado,peroni,gelato
205,tuna,prosciutto,olives,ham,turkey,avocado,steak
206,avocado,crackers,hummus,peroni,ham,gelato,pretzels
207,tuna,prosciutto,apples,olives,steak,pretzels,sarsaparilla
208,risotto,pretzels,apples,peppers,avocado,steak,gelato
209,avocado,crackers,hummus,peroni,ham,pretzels,prosciutto
210,prosciutto,peppers,sarsaparilla,crackers,chicken,coke,tuna
211,risotto,pretzels,apples,peppers,avocado,prosciutto,soda
212,avocado,crackers,hummus,peroni,ham,soda,coke
213,risotto,tuna,avocado,hummus,peroni,soda,gelato
214,risotto,tuna,avocado,hummus,peroni,chicken,coke
215,pretzels,peroni,chicken,coke,gelato,hummus,risotto
216,olives,sarsaparilla,coke,turkey,gelato,peroni,risotto
217,tuna,prosciutto,apples,olives,steak,crackers,chicken
218,risotto,tuna,avocado,hummus,peroni,apples,peppers
219,tuna,prosciutto,apples,olives,steak,ham,peroni
220,tuna,prosciutto,apples,olives,steak,moscato,avocado
221,pretzels,peroni,chicken,coke,gelato,olives,soda
222,soda,olives,sarsaparilla,crackers,peroni,turkey,steak
223,soda,olives,sarsaparilla,crackers,peroni,turkey,prosciutto
224,tuna,prosciutto,apples,olives,steak,pretzels,gelato
225,soda,olives,sarsaparilla,crackers,peroni,pretzels,chicken
226,pretzels,peroni,chicken,coke,gelato,apples,hummus
227,prosciutto,peppers,sarsaparilla,crackers,chicken,turkey,apples
228,olives,sarsaparilla,coke,turkey,gelato,ham,risotto
229,risotto,soda,tuna,crackers,peroni,turkey,turkey
230,olives,sarsaparilla,coke,turkey,gelato,hummus,apples
231,avocado,crackers,hummus,peroni,ham,turkey,olives
232,tuna,prosciutto,apples,olives,steak,avocado,sarsaparilla
233,risotto,tuna,avocado,hummus,peroni,soda,olives
234,tuna,prosciutto,apples,olives,steak,peppers,peppers
235,tuna,prosciutto,apples,olives,steak,hummus,avocado
236,risotto,tuna,avocado,hummus,peroni,crackers,apples
237,avocado,crackers,hummus,peroni,ham,moscato,steak
238,risotto,tuna,avocado,hummus,peroni,sarsaparilla,ham
239,avocado,crackers,hummus,peroni,ham,sarsaparilla,apples
240,tuna,prosciutto,apples,olives,steak,risotto,sarsaparilla
241,risotto,pretzels,apples,peppers,avocado,olives,crackers
242,risotto,pretzels,apples,peppers,avocado,sarsaparilla,sarsaparilla
243,pretzels,peroni,chicken,coke,gelato,peppers,sarsaparilla
244,pretzels,peroni,chicken,coke,gelato,tuna,apples
245,avocado,crackers,hummus,peroni,ham,apples,gelato
246,pretzels,peroni,chicken,coke,gelato,sarsaparilla,hummus
247,olives,sarsaparilla,coke,turkey,gelato,risotto,steak
248,olives,sarsaparilla,coke,turkey,gelato,crackers,chicken
249,risotto,tuna,avocado,hummus,peroni,steak,prosciutto
250,pretzels,peroni,chicken,coke,gelato,apples,turkey
251,olives,sarsaparilla,coke,turkey,gelato,soda,pretzels
252,tuna,prosciutto,apples,olives,steak,moscato,hummus
253,avocado,crackers,hummus,peroni,ham,prosciutto,chicken
254,risotto,soda,tuna,crackers,peroni,avocado,hummus
255,olives,sarsaparilla,coke,turkey,gelato,moscato,ham
256,avocado,crackers,hummus,peroni,ham,tuna,gelato
257,pretzels,peroni,chicken,coke,gelato,hummus,steak
258,soda,olives,sarsaparilla,crackers,peroni,chicken,tuna
259,risotto,tuna,avocado,hummus,peroni,moscato,soda
260,soda,olives,sarsaparilla,crackers,peroni,avocado,avocado
261,risotto,pretzels,apples,peppers,avocado,sarsaparilla,hummus
262,pretzels,peroni,chicken,coke,gelato,tuna,ham
263,risotto,pretzels,apples,peppers,avocado,hummus,soda
264,tuna,prosciutto,olives,ham,turkey,sarsaparilla,peppers
265,prosciutto,peppers,sarsaparilla,crackers,chicken,risotto,peroni
266,tuna,prosciutto,olives,ham,turkey,peroni,sarsaparilla
267,soda,olives,sarsaparilla,crackers,peroni,peppers,avocado
268,risotto,soda,tuna,crackers,peroni,hummus,avocado
269,pretzels,peroni,chicken,coke,gelato,sarsaparilla,prosciutto
270,olives,sarsaparilla,coke,turkey,gelato,apples,peppers
271,risotto,pretzels,apples,peppers,avocado,prosciutto,crackers
272,avocado,crackers,hummus,peroni,ham,steak,prosciutto
273,soda,olives,sarsaparilla,crackers,peroni,steak,gelato
274,avocado,crackers,hummus,peroni,ham,soda,steak
275,soda,olives,sarsaparilla,crackers,peroni,ham,risotto
276,risotto,pretzels,apples,peppers,avocado,crackers,steak
277,soda,olives,sarsaparilla,crackers,peroni,steak,steak
278,tuna,prosciutto,apples,olives,steak,gelato,coke
279,prosciutto,peppers,sarsaparilla,crackers,chicken,ham,peroni
280,pretzels,peroni,chicken,coke,gelato,crackers,soda
281,tuna,prosciutto,olives,ham,turkey,chicken,coke
282,risotto,pretzels,apples,peppers,avocado,steak,crackers
283,tuna,prosciutto,apples,olives,steak,hummus,hummus
284,tuna,prosciutto,apples,olives,steak,moscato,ham
285,olives,sarsaparilla,coke,turkey,gelato,pretzels,peroni
286,avocado,crackers,hummus,peroni,ham,moscato,chicken
287,olives,sarsaparilla,coke,turkey,gelato,apples,risotto
288,tuna,prosciutto,olives,ham,turkey,avocado,peroni
289,risotto,soda,tuna,crackers,peroni,peppers,avocado
290,tuna,prosciutto,apples,olives,steak,ham,risotto
291,tuna,prosciutto,apples,olives,steak,soda,risotto
292,soda,olives,sarsaparilla,crackers,peroni,chicken,apples
293,tuna,prosciutto,olives,ham,turkey,risotto,soda
294,risotto,soda,tuna,crackers,peroni,gelato,avocado
295,risotto,tuna,avocado,hummus,peroni,gelato,ham
296,prosciutto,peppers,sarsaparilla,crackers,chicken,steak,ham
297,risotto,pretzels,apples,peppers,avocado,sarsaparilla,hummus
298,pretzels,peroni,chicken,coke,gelato,moscato,prosciutto
299,tuna,prosciutto,apples,olives,steak,avocado,hummus
300,risotto,tuna,avocado,hummus,peroni,chicken,turkey
301,pretzels,peroni,chicken,coke,gelato,steak,tuna
302,risotto,pretzels,apples,peppers,avocado,prosciutto,steak
303,risotto,soda,tuna,crackers,peroni,sarsaparilla,pretzels
304,prosciutto,peppers,sarsaparilla,crackers,chicken,apples,peroni
305,tuna,prosciutto,olives,ham,turkey,peppers,crackers
306,tuna,prosciutto,apples,olives,steak,moscato,coke
307,tuna,prosciutto,apples,olives,steak,soda,hummus
308,pretzels,peroni,chicken,coke,gelato,tuna,crackers
309,prosciutto,peppers,sarsaparilla,crackers,chicken,pretzels,ham
310,risotto,soda,tuna,crackers,peroni,turkey,steak
311,tuna,prosciutto,olives,ham,turkey,coke,pretzels
312,risotto,soda,tuna,crackers,peroni,apples,ham
313,risotto,pretzels,apples,peppers,avocado,soda,chicken
314,tuna,prosciutto,apples,olives,steak,peroni,pretzels
315,tuna,prosciutto,apples,olives,steak,turkey,coke
316,tuna,prosciutto,olives,ham,turkey,apples,steak
317,olives,sarsaparilla,coke,turkey,gelato,ham,prosciutto
318,olives,sarsaparilla,coke,turkey,gelato,peroni,risotto
319,tuna,prosciutto,olives,ham,turkey,crackers,avocado
320,risotto,tuna,avocado,hummus,peroni,peppers,steak
321,prosciutto,peppers,sarsaparilla,crackers,chicken,olives,turkey
322,risotto,pretzels,apples,peppers,avocado,moscato,peroni
323,tuna,prosciutto,olives,ham,turkey,steak,steak
324,risotto,soda,tuna,crackers,peroni,peppers,peppers
325,pretzels,peroni,chicken,coke,gelato,ham,sarsaparilla
326,pretzels,peroni,chicken,coke,gelato,soda,avocado
327,prosciutto,peppers,sarsaparilla,crackers,chicken,turkey,coke
328,soda,olives,sarsaparilla,crackers,peroni,prosciutto,peppers
329,soda,olives,sarsaparilla,crackers,peroni,moscato,hummus
330,avocado,crackers,hummus,peroni,ham,coke,gelato
331,tuna,prosciutto,olives,ham,turkey,soda,apples
332,prosciutto,peppers,sarsaparilla,crackers,chicken,peroni,apples
333,risotto,soda,tuna,crackers,peroni,chicken,olives
334,risotto,soda,tuna,crackers,peroni,turkey,pretzels
335,olives,sarsaparilla,coke,turkey,gelato,crackers,peroni
336,soda,olives,sarsaparilla,crackers,peroni,moscato,chicken
337,risotto,tuna,avocado,hummus,peroni,prosciutto,apples
338,pretzels,peroni,chicken,coke,gelato,prosciutto,olives
339,prosciutto,peppers,sarsaparilla,crackers,chicken,risotto,ham
340,tuna,prosciutto,olives,ham,turkey,steak,chicken
341,pretzels,peroni,chicken,coke,gelato,avocado,ham
342,olives,sarsaparilla,coke,turkey,gelato,peppers,tuna
343,soda,olives,sarsaparilla,crackers,peroni,tuna,apples
344,tuna,prosciutto,apples,olives,steak,crackers,gelato
345,risotto,soda,tuna,crackers,peroni,peppers,gelato
346,risotto,soda,tuna,crackers,peroni,coke,olives
347,prosciutto,peppers,sarsaparilla,crackers,chicken,ham,peroni
348,risotto,pretzels,apples,peppers,avocado,olives,peroni
349,olives,sarsaparilla,coke,turkey,gelato,prosciutto,pretzels
350,pretzels,peroni,chicken,coke,gelato,soda,sarsaparilla
351,risotto,soda,tuna,crackers,peroni,prosciutto,ham
352,soda,olives,sarsaparilla,crackers,peroni,steak,tuna
353,risotto,soda,tuna,crackers,peroni,prosciutto,pretzels
354,avocado,crackers,hummus,peroni,ham,sarsaparilla,peppers
355,soda,olives,sarsaparilla,crackers,peroni,apples,pretzels
356,risotto,tuna,avocado,hummus,peroni,sarsaparilla,sarsaparilla
357,risotto,tuna,avocado,hummus,peroni,pretzels,prosciutto
358,tuna,prosciutto,olives,ham,turkey,hummus,crackers
359,risotto,tuna,avocado,hummus,peroni,olives,prosciutto
360,prosciutto,peppers,sarsaparilla,crackers,chicken,olives,ham
361,avocado,crackers,hummus,peroni,ham,risotto,prosciutto
362,tuna,prosciutto,apples,olives,steak,crackers,coke
363,risotto,tuna,avocado,hummus,peroni,sarsaparilla,prosciutto
364,risotto,pretzels,apples,peppers,avocado,turkey,turkey
365,prosciutto,peppers,sarsaparilla,crackers,chicken,olives,olives
366,prosciutto,peppers,sarsaparilla,crackers,chicken,olives,gelato
367,pretzels,peroni,chicken,coke,gelato,moscato,risotto
368,tuna,prosciutto,apples,olives,steak,ham,avocado
369,tuna,prosciutto,olives,ham,turkey,soda,steak
370,risotto,tuna,avocado,hummus,peroni,sarsaparilla,turkey
371,risotto,soda,tuna,crackers,peroni,gelato,steak
372,soda,olives,sarsaparilla,crackers,peroni,moscato,risotto
373,pretzels,peroni,chicken,coke,gelato,turkey,ham
374,olives,sarsaparilla,coke,turkey,gelato,peppers,chicken
375,risotto,soda,tuna,crackers,peroni,olives,olives
376,tuna,prosciutto,apples,olives,steak,coke,crackers
377,avocado,crackers,hummus,peroni,ham,soda,peppers
378,risotto,tuna,avocado,hummus,peroni,turkey,sarsaparilla
379,avocado,crackers,hummus,peroni,ham,pretzels,turkey
380,risotto,tuna,avocado,hummus,peroni,moscato,soda
381,tuna,prosciutto,olives,ham,turkey,peroni,peroni
382,risotto,pretzels,apples,peppers,avocado,moscato,coke
383,soda,olives,sarsaparilla,crackers,peroni,turkey,chicken
384,prosciutto,peppers,sarsaparilla,crackers,chicken,ham,avocado
385,risotto,pretzels,apples,peppers,avocado,soda,steak
386,avocado,crackers,hummus,peroni,ham,apples,soda
387,tuna,prosciutto,olives,ham,turkey,risotto,gelato
388,tuna,prosciutto,olives,ham,turkey,soda,avocado
389,pretzels,peroni,chicken,coke,gelato,crackers,peppers
390,tuna,prosciutto,olives,ham,turkey,peppers,avocado
391,risotto,soda,tuna,crackers,peroni,peppers,apples
392,olives,sarsaparilla,coke,turkey,gelato,ham,risotto
393,risotto,pretzels,apples,peppers,avocado,olives,gelato
394,risotto,tuna,avocado,hummus,peroni,peppers,ham
395,risotto,soda,tuna,crackers,peroni,sarsaparilla,prosciutto
396,avocado,crackers,hummus,peroni,ham,chicken,soda
397,risotto,soda,tuna,crackers,peroni,peppers,sarsaparilla
398,risotto,pretzels,apples,peppers,avocado,moscato,coke
399,tuna,prosciutto,olives,ham,turkey,moscato,peppers
400,soda,olives,sarsaparilla,crackers,peroni,coke,prosciutto
401,avocado,crackers,hummus,peroni,ham,gelato,sarsaparilla
402,soda,olives,sarsaparilla,crackers,peroni,prosciutto,ham
403,soda,olives,sarsaparilla,crackers,peroni,tuna,coke
404,tuna,prosciutto,olives,ham,turkey,moscato,gelato
405,risotto,pretzels,apples,peppers,avocado,peroni,prosciutto
406,prosciutto,peppers,sarsaparilla,crackers,chicken,peroni,apples
407,risotto,tuna,avocado,hummus,peroni,steak,apples
408,soda,olives,sarsaparilla,crackers,peroni,steak,hummus
409,risotto,tuna,avocado,hummus,peroni,steak,turkey
410,prosciutto,peppers,sarsaparilla,crackers,chicken,gelato,apples
411,risotto,pretzels,apples,peppers,avocado,tuna,crackers
412,risotto,soda,tuna,crackers,peroni,steak,steak
413,risotto,tuna,avocado,hummus,peroni,coke,turkey
414,risotto,tuna,avocado,hummus,peroni,soda,olives
415,prosciutto,peppers,sarsaparilla,crackers,chicken,apples,steak
416,tuna,prosciutto,olives,ham,turkey,steak,pretzels
417,avocado,crackers,hummus,peroni,ham,olives,gelato
418,tuna,prosciutto,olives,ham,turkey,crackers,avocado
419,olives,sarsaparilla,coke,turkey,gelato,tuna,peroni
420,tuna,prosciutto,apples,olives,steak,sarsaparilla,chicken
421,risotto,soda,tuna,crackers,peroni,apples,coke
422,pretzels,peroni,chicken,coke,gelato,risotto,turkey
423,prosciutto,peppers,sarsaparilla,crackers,chicken,peroni,hummus
424,risotto,soda,tuna,crackers,peroni,apples,pretzels
425,tuna,prosciutto,olives,ham,turkey,hummus,avocado
426,pretzels,peroni,chicken,coke,gelato,moscato,tuna
427,risotto,pretzels,apples,peppers,avocado,soda,gelato
428,risotto,soda,tuna,crackers,peroni,hummus,apples
429,avocado,crackers,hummus,peroni,ham,tuna,turkey
430,tuna,prosciutto,apples,olives,steak,chicken,soda
431,avocado,crackers,hummus,peroni,ham,coke,soda
432,tuna,prosciutto,olives,ham,turkey,avocado,soda
433,soda,olives,sarsaparilla,crackers,peroni,chicken,apples
434,risotto,tuna,avocado,hummus,peroni,pretzels,peppers
435,pretzels,peroni,chicken,coke,gelato,crackers,risotto
436,pretzels,peroni,chicken,coke,gelato,prosciutto,sarsaparilla
437,olives,sarsaparilla,coke,turkey,gelato,peppers,apples
438,avocado,crackers,hummus,peroni,ham,gelato,sarsaparilla
439,risotto,soda,tuna,crackers,peroni,avocado,peppers
440,pretzels,peroni,chicken,coke,gelato,peppers,peppers
441,avocado,crackers,hummus,peroni,ham,prosciutto,chicken
442,prosciutto,peppers,sarsaparilla,crackers,chicken,risotto,steak
443,risotto,soda,tuna,crackers,peroni,sarsaparilla,peppers
444,risotto,tuna,avocado,hummus,peroni,turkey,apples
445,olives,sarsaparilla,coke,turkey,gelato,steak,chicken
446,risotto,tuna,avocado,hummus,peroni,ham,sarsaparilla
447,risotto,soda,tuna,crackers,peroni,ham,apples
448,avocado,crackers,hummus,peroni,ham,moscato,soda
449,tuna,prosciutto,apples,olives,steak,soda,coke
450,risotto,soda,tuna,crackers,peroni,avocado,sarsaparilla
451,pretzels,peroni,chicken,coke,gelato,hummus,risotto
452,soda,olives,sarsaparilla,crackers,peroni,prosciutto,hummus
453,risotto,soda,tuna,crackers,peroni,prosciutto,olives
454,avocado,crackers,hummus,peroni,ham,coke,gelato
